Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
57,595343,,32.9669,,39.825,,28.5926,,25.5417,,26.6071,,34.963,,38.8571,,24.0571,,40.5313,,45.5417,,47.3333,,57.7879,,47.6032,,48.0469,,28.3889,,24.7188,,28.64,,28.75,,30.7551,,32.58,,26.9762,,17.9524,,16,,27.5,,18.0833,,19.4722,,17.0781
58,605343,,32.9669,,39.375,,28.463,,25.375,,27.7679,,33.7222,,39.1071,,23.5143,,39.7969,,43.9167,,45.8333,,57.7273,,47.8571,,46.9844,,28.6667,,25.1875,,28.76,,29.9167,,30.8163,,31.84,,27.381,,17.3492,,16.35,,28.1071,,16.8958,,19.6667,,17.0781
59,615342,,32.6777,,40.725,,28.537,,25.4375,,26.6964,,33.1111,,37.6607,,24,,39.9375,,44.9167,,45.7083,,57.1515,,46.9206,,48.9531,,29.3889,,24.25,,28.28,,31.4167,,31.4082,,32.32,,28.4524,,17.3651,,16.9,,26.7143,,17.2708,,20.4444,,17.3594
60,625342,,32.9669,,39.9,,29.7037,,24.625,,27.25,,32.6111,,39.3571,,23.7143,,40.0313,,44.8125,,45.6042,,57.6465,,47.5556,,46.9219,,28.3056,,25.1563,,29.36,,30.75,,31,,31.58,,28.1667,,17.8413,,15.375,,27.5714,,17.0208,,19.6389,,17.3906
61,636540,,33.1818,,39.7,,29.1667,,24.2292,,27.25,,33.4444,,39.1786,,25.1143,,40.2188,,44.8125,,45.8125,,58.2929,,46.6984,,48.2344,,27.9167,,25.4688,,29.16,,31.6667,,30.4082,,31.92,,26.8333,,17.746,,16.05,,28.3929,,17.0417,,20.3333,,18.0469
62,646529,,32.8182,,40.25,,29.2037,,25.1042,,27.2679,,33.7778,,38.8214,,25.7714,,39.8281,,44.5417,,45.75,,58.1414,,48.2857,,48.1719,,29.1944,,25.6563,,27.88,,32.4167,,31.3061,,31.96,,28.5238,,17.5397,,14.875,,27.5714,,17.0625,,19.8889,,17.0156
63,656528,,32.6446,,39.625,,28.9259,,24.6458,,27.5,,33.6667,,39.2143,,24.4571,,39.8281,,45.2292,,45.2708,,58.5556,,47.5873,,48.1563,,29.2778,,25.5625,,28.4,,31.6667,,31.8163,,31.82,,27.7381,,17.9683,,16.7,,28.0714,,17.0208,,19.8333,,17.3906
64,666528,,32.7769,,40,,29.0926,,26.25,,27.2143,,33.5556,,36.9464,,24.4,,40.3281,,45.2708,,45.9583,,58.0202,,47.381,,48.7344,,28.3056,,24.7813,,29.8,,30.3333,,31,,31.5,,28.2619,,17.9365,,16.475,,27.2143,,17.75,,20.1389,,17.4375
65,676528,,33.0331,,38.9125,,28.0556,,24.75,,27.9286,,32.963,,38.9643,,23.5714,,39.9375,,44.6042,,45.9167,,57.5556,,47.8254,,48.4063,,29.5,,25.0938,,28.76,,30.25,,30.5714,,31.6,,28.6905,,17.9524,,15.775,,27.6429,,16.4375,,20.5,,17.0313
66,686528,,33.2893,,40.025,,28.8889,,25.1875,,27.4643,,32.9259,,38.2679,,24.0857,,39.3281,,43.7708,,46.5208,,58.2323,,47.8095,,47.0313,,27.4167,,24.5,,27.64,,30.5,,32.1429,,31.74,,27.7143,,18.0794,,16.2,,27.1786,,18.25,,20.6944,,17.2656
67,698914,,33.6364,,39.975,,28.0926,,24.625,,26.9643,,33.0556,,38.6607,,24.0286,,40.0313,,44.4583,,44.9583,,57.7273,,48.0635,,48.2969,,28.3611,,25.125,,29.08,,30.5833,,30.9184,,32.16,,27.8095,,18.0794,,16,,28.9643,,17.4375,,19.8056,,16.9688
68,708902,,32.4463,,40.1125,,28.6852,,25.0208,,27.9643,,32.9259,,38.3929,,23.1714,,39.9063,,44.1875,,45.5,,58.2929,,46.5079,,48.4688,,28.9167,,24.3438,,29.28,,30.1667,,31.8776,,31.58,,27.5476,,17.4921,,15.9,,28.25,,16.875,,20.0278,,17.25
69,718901,,32.9422,,39.2,,28.8519,,24.9167,,27.0179,,33.3889,,38.0357,,23.7714,,40.1563,,44.5208,,45.6042,,58.7071,,47.8095,,48.2656,,27.3333,,25.0625,,27.68,,31.0833,,31.0204,,31.66,,26.9048,,17.7778,,16.325,,28.5714,,17.7708,,20.5556,,17.0313
70,728901,,33.562,,39.7875,,29,,24.75,,28.0536,,32.7963,,39.125,,23.4286,,39.7188,,45.5833,,45.1458,,58.2323,,47.4921,,48.0469,,28.4444,,25.5938,,29.08,,28,,30.8776,,32.36,,27.4524,,17.4921,,16,,26.8214,,17.5625,,20.4167,,17.5313
